Table Name,Table Description,Column Name,Column Description,Data Element,Checktable,Datatype,Length,Decimals,Table Description Short,Column Description Short
A016,Contract Item,MANDT,Client,MANDT,T000,CLNT,3,0,Contract Item,client
A016,Contract Item,KAPPL,Application,KAPPL,T681A,CHAR,2,0,Contract Item,application
A016,Contract Item,KSCHL,Condition type,KSCHA,T685,CHAR,4,0,Contract Item,condition_type
A016,Contract Item,EVRTN,Purchasing Document Number,EBELN,EKKO,CHAR,10,0,Contract Item,purchasing_document_numbe
A016,Contract Item,EVRTP,Item Number of Purchasing Document,EBELP,EKPO,NUMC,5,0,Contract Item,item_number_of_purchasing
A016,Contract Item,DATBI,Validity end date of the condition record,KODATBI,,DATS,8,0,Contract Item,validity_end_date_of_the_
A016,Contract Item,DATAB,Validity start date of the condition record,KODATAB,,DATS,8,0,Contract Item,validity_start_date_of_th
A016,Contract Item,KNUMH,Condition record number,KNUMH,,CHAR,10,0,Contract Item,condition_record_number
A017,Material Info Record (Plant-Specific),MANDT,Client,MANDT,T000,CLNT,3,0,Material Info Record (Plant-Specific),client
A017,Material Info Record (Plant-Specific),KAPPL,Application,KAPPL,T681A,CHAR,2,0,Material Info Record (Plant-Specific),application
A017,Material Info Record (Plant-Specific),KSCHL,Condition type,KSCHA,T685,CHAR,4,0,Material Info Record (Plant-Specific),condition_type
A017,Material Info Record (Plant-Specific),LIFNR,Vendor Account Number,ELIFN,LFA1,CHAR,10,0,Material Info Record (Plant-Specific),vendor_account_number
A017,Material Info Record (Plant-Specific),MATNR,Material Number,MATNR,MARA,CHAR,18,0,Material Info Record (Plant-Specific),material_number
A017,Material Info Record (Plant-Specific),EKORG,Purchasing Organization,EKORG,T024E,CHAR,4,0,Material Info Record (Plant-Specific),purchasing_organization
A017,Material Info Record (Plant-Specific),WERKS,Plant,WERKS_D,T001W,CHAR,4,0,Material Info Record (Plant-Specific),plant
A017,Material Info Record (Plant-Specific),ESOKZ,Purchasing info record category,ESOKZ,,CHAR,1,0,Material Info Record (Plant-Specific),purchasing_info_record_ca
A017,Material Info Record (Plant-Specific),DATBI,Validity end date of the condition record,KODATBI,,DATS,8,0,Material Info Record (Plant-Specific),validity_end_date_of_the_
A017,Material Info Record (Plant-Specific),DATAB,Validity start date of the condition record,KODATAB,,DATS,8,0,Material Info Record (Plant-Specific),validity_start_date_of_th
A017,Material Info Record (Plant-Specific),KNUMH,Condition record number,KNUMH,,CHAR,10,0,Material Info Record (Plant-Specific),condition_record_number
AUSP,Characteristic Values,MANDT,Client,MANDT,T000,CLNT,3,0,Characteristic Values,client
AUSP,Characteristic Values,OBJEK,Key of object to be classified,OBJNUM,,CHAR,50,0,Characteristic Values,key_of_object_to_be_class
AUSP,Characteristic Values,ATINN,Internal characteristic,ATINN,,NUMC,10,0,Characteristic Values,internal_characteristic
AUSP,Characteristic Values,ATZHL,Characteristic value counter,WZAEHL,,NUMC,3,0,Characteristic Values,characteristic_value_coun
AUSP,Characteristic Values,MAFID,Indicator: Object/Class,KLMAF,,CHAR,1,0,Characteristic Values,indicator_object_class
AUSP,Characteristic Values,KLART,Class Type,KLASSENART,TCLA,CHAR,3,0,Characteristic Values,class_type
AUSP,Characteristic Values,ADZHL,Internal counter for archiving objects via engin. chg. mgmt,ADZHL,,NUMC,4,0,Characteristic Values,internal_counter_for_arch
AUSP,Characteristic Values,ATWRT,Characteristic Value,ATWRT,,CHAR,30,0,Characteristic Values,characteristic_value
AUSP,Characteristic Values,ATFLV,Internal floating point from,ATFLV,,FLTP,16,16,Characteristic Values,internal_floating_point_f
AUSP,Characteristic Values,ATAWE,Unit of Measurement,MSEHI,T006,UNIT,3,0,Characteristic Values,unit_of_measurement
AUSP,Characteristic Values,ATFLB,Internal floating point value to,ATFLB,,FLTP,16,16,Characteristic Values,internal_floating_point_v
AUSP,Characteristic Values,ATAW1,Unit of Measurement,MSEHI,T006,UNIT,3,0,Characteristic Values,unit_of_measurement
AUSP,Characteristic Values,ATCOD,Code for value dependency,ATCOD,,CHAR,1,0,Characteristic Values,code_for_value_dependency
AUSP,Characteristic Values,ATTLV,Tolerance from,ATTLV,,FLTP,16,16,Characteristic Values,tolerance_from
AUSP,Characteristic Values,ATTLB,Tolerance to,ATTLB,,FLTP,16,16,Characteristic Values,tolerance_to
AUSP,Characteristic Values,ATPRZ,Indicator: Tolerance Shown as a Percentage,ATPRZ,,CHAR,1,0,Characteristic Values,indicator_tolerance_shown
AUSP,Characteristic Values,ATINC,Increment Within a Specified Interval,ATINC,,FLTP,16,16,Characteristic Values,increment_within_a_specif
AUSP,Characteristic Values,ATAUT,Classification: Author,ATAUT,,CHAR,1,0,Characteristic Values,classification_author
AUSP,Characteristic Values,AENNR,Change Number,AENNR,,CHAR,12,0,Characteristic Values,change_number
AUSP,Characteristic Values,DATUV,Valid-From Date,DATUV,,DATS,8,0,Characteristic Values,valid_from_date
AUSP,Characteristic Values,LKENZ,Deletion Indicator,LKENZ,,CHAR,1,0,Characteristic Values,deletion_indicator
AUSP,Characteristic Values,ATIMB,Characteristic Number of User-Defined Data Type,ATIMB,,NUMC,10,0,Characteristic Values,characteristic_number_of_
AUSP,Characteristic Values,ATZIS,Instance counter,ATZIS,,NUMC,3,0,Characteristic Values,instance_counter
AUSP,Characteristic Values,ATSRT,Sort field for AUSP char. values,ATSRT,,NUMC,4,0,Characteristic Values,sort_field_for_ausp_char_
AUSP,Characteristic Values,ATVGLART,"Comparison Type for Char. Value: "" "" .. ""7"": Incl./Excl.",ATVGLART,,CHAR,1,0,Characteristic Values,comparison_type_for_char_
EBAN,Purchase Requisition,MANDT,Client,MANDT,T000,CLNT,3,0,Purchase Requisition,client
EBAN,Purchase Requisition,BANFN,Purchase Requisition Number,BANFN,,CHAR,10,0,Purchase Requisition,purchase_requisition_numb
EBAN,Purchase Requisition,BNFPO,Item Number of Purchase Requisition,BNFPO,,NUMC,5,0,Purchase Requisition,item_number_of_purchase_r
EBAN,Purchase Requisition,BSART,Purchase Requisition Document Type,BBSRT,T161,CHAR,4,0,Purchase Requisition,purchase_requisition_docu
EBAN,Purchase Requisition,BSTYP,Purchasing Document Category,BSTYP,,CHAR,1,0,Purchase Requisition,purchasing_document_categ
EBAN,Purchase Requisition,BSAKZ,Control indicator for purchasing document type,BSAKZ,,CHAR,1,0,Purchase Requisition,control_indicator_for_pur
EBAN,Purchase Requisition,LOEKZ,Deletion Indicator in Purchasing Document,ELOEK,,CHAR,1,0,Purchase Requisition,deletion_indicator_in_pur
EBAN,Purchase Requisition,STATU,Processing status of purchase requisition,BANST,,CHAR,1,0,Purchase Requisition,processing_status_of_purc
EBAN,Purchase Requisition,ESTKZ,Creation Indicator (Purchase Requisition/Schedule Lines),ESTKZ,,CHAR,1,0,Purchase Requisition,creation_indicator__purch
EBAN,Purchase Requisition,FRGKZ,Release Indicator,FRGKZ,T161S,CHAR,1,0,Purchase Requisition,release_indicator
EBAN,Purchase Requisition,FRGZU,Release status,FRGZU,,CHAR,8,0,Purchase Requisition,release_status
EBAN,Purchase Requisition,FRGST,Release Strategy in Purchase Requisition,FRGST,,CHAR,2,0,Purchase Requisition,release_strategy_in_purch
EBAN,Purchase Requisition,EKGRP,Purchasing Group,EKGRP,T024,CHAR,3,0,Purchase Requisition,purchasing_group
EBAN,Purchase Requisition,ERNAM,Name of Person who Created the Object,ERNAM,,CHAR,12,0,Purchase Requisition,name_of_person_who_create
EBAN,Purchase Requisition,ERDAT,Changed On,AEDAT,,DATS,8,0,Purchase Requisition,changed_on
EBAN,Purchase Requisition,AFNAM,Name of Requisitioner/Requester,AFNAM,,CHAR,12,0,Purchase Requisition,name_of_requisitioner_req
EBAN,Purchase Requisition,TXZ01,Short Text,TXZ01,,CHAR,40,0,Purchase Requisition,short_text
EBAN,Purchase Requisition,MATNR,Material Number,MATNR,MARA,CHAR,18,0,Purchase Requisition,material_number
EBAN,Purchase Requisition,EMATN,Material Number Corresponding to Manufacturer Part Number,EMATN,MARA,CHAR,18,0,Purchase Requisition,material_number_correspon
EBAN,Purchase Requisition,WERKS,Plant,EWERK,T001W,CHAR,4,0,Purchase Requisition,plant
EBAN,Purchase Requisition,LGORT,Storage Location,LGORT_D,T001L,CHAR,4,0,Purchase Requisition,storage_location
EBAN,Purchase Requisition,BEDNR,Requirement Tracking Number,BEDNR,,CHAR,10,0,Purchase Requisition,requirement_tracking_numb
EBAN,Purchase Requisition,MATKL,Material Group,MATKL,T023,CHAR,9,0,Purchase Requisition,material_group
EBAN,Purchase Requisition,RESWK,Supplying (Issuing) Plant in Stock Transport Order,RESWK,,CHAR,4,0,Purchase Requisition,supplying__issuing__plant
EBAN,Purchase Requisition,MENGE,Purchase Requisition Quantity,BAMNG,,QUAN,13,3,Purchase Requisition,purchase_requisition_quan
EBAN,Purchase Requisition,MEINS,Purchase Requisition Unit of Measure,BAMEI,T006,UNIT,3,0,Purchase Requisition,purchase_requisition_unit
EBAN,Purchase Requisition,BUMNG,Shortage (stock undercoverage) quantity,BUMNG,,QUAN,13,3,Purchase Requisition,shortage__stock_undercove
EBAN,Purchase Requisition,BADAT,Requisition (Request) Date,BADAT,,DATS,8,0,Purchase Requisition,requisition__request__dat
EBAN,Purchase Requisition,LPEIN,Category of Delivery Date,LPEIN,TPRG,CHAR,1,0,Purchase Requisition,category_of_delivery_date
EBAN,Purchase Requisition,LFDAT,Item Delivery Date,EINDT,,DATS,8,0,Purchase Requisition,item_delivery_date
EBAN,Purchase Requisition,FRGDT,Purchase Requisition Release Date,FRGDT,,DATS,8,0,Purchase Requisition,purchase_requisition_rele
EBAN,Purchase Requisition,WEBAZ,Goods Receipt Processing Time in Days,WEBAZ,,DEC,3,0,Purchase Requisition,goods_receipt_processing_
EBAN,Purchase Requisition,PREIS,Price in Purchase Requisition,BAPRE,,CURR,11,2,Purchase Requisition,price_in_purchase_requisi
EBAN,Purchase Requisition,PEINH,Price Unit,EPEIN,,DEC,5,0,Purchase Requisition,price_unit
EBAN,Purchase Requisition,PSTYP,Item Category in Purchasing Document,PSTYP,T163,CHAR,1,0,Purchase Requisition,item_category_in_purchasi
EBAN,Purchase Requisition,KNTTP,Account Assignment Category,KNTTP,T163K,CHAR,1,0,Purchase Requisition,account_assignment_catego
EBAN,Purchase Requisition,KZVBR,Consumption Posting,KZVBR,,CHAR,1,0,Purchase Requisition,consumption_posting
EBAN,Purchase Requisition,KFLAG,Acct.asst.changeable,KFLAG,,CHAR,1,0,Purchase Requisition,acctasstchangeable
EBAN,Purchase Requisition,VRTKZ,Distribution indicator for multiple account assignment,VRTKZ,,CHAR,1,0,Purchase Requisition,distribution_indicator_fo
EBAN,Purchase Requisition,TWRKZ,Partial Invoice Indicator,TWRKZ,,CHAR,1,0,Purchase Requisition,partial_invoice_indicator
EBAN,Purchase Requisition,WEPOS,Goods Receipt Indicator,WEPOS,,CHAR,1,0,Purchase Requisition,goods_receipt_indicator
EBAN,Purchase Requisition,WEUNB,"Goods Receipt, Non-Valuated",WEUNB,,CHAR,1,0,Purchase Requisition,"goods_receipt,_non_valuat"
EBAN,Purchase Requisition,REPOS,Invoice Receipt Indicator,REPOS,,CHAR,1,0,Purchase Requisition,invoice_receipt_indicator
EBAN,Purchase Requisition,LIFNR,Desired Vendor,WLIEF,LFA1,CHAR,10,0,Purchase Requisition,desired_vendor
EBAN,Purchase Requisition,FLIEF,Fixed Vendor,FLIEF,LFA1,CHAR,10,0,Purchase Requisition,fixed_vendor
EBAN,Purchase Requisition,EKORG,Purchasing Organization,EKORG,T024E,CHAR,4,0,Purchase Requisition,purchasing_organization
EBAN,Purchase Requisition,VRTYP,Purchasing Document Category,BSTYP,,CHAR,1,0,Purchase Requisition,purchasing_document_categ
EBAN,Purchase Requisition,KONNR,Number of Principal Purchase Agreement,KONNR,EKKO,CHAR,10,0,Purchase Requisition,number_of_principal_purch
EBAN,Purchase Requisition,KTPNR,Item Number of Principal Purchase Agreement,KTPNR,EKPO,NUMC,5,0,Purchase Requisition,item_number_of_principal_
EBAN,Purchase Requisition,INFNR,Number of Purchasing Info Record,INFNR,EINA,CHAR,10,0,Purchase Requisition,number_of_purchasing_info
EBAN,Purchase Requisition,ZUGBA,Assigned Source of Supply,DZUGBA,,CHAR,1,0,Purchase Requisition,assigned_source_of_supply
EBAN,Purchase Requisition,QUNUM,Number of Quota Arrangement,QUNUM,,CHAR,10,0,Purchase Requisition,number_of_quota_arrangeme
EBAN,Purchase Requisition,QUPOS,Quota Arrangement Item,QUPOS,,NUMC,3,0,Purchase Requisition,quota_arrangement_item
EBAN,Purchase Requisition,DISPO,MRP Controller (Materials Planner),DISPO,T024D,CHAR,3,0,Purchase Requisition,mrp_controller__materials
EBAN,Purchase Requisition,SERNR,BOM explosion number,SERNR,,CHAR,8,0,Purchase Requisition,bom_explosion_number
EBAN,Purchase Requisition,BVDAT,Date of last resubmission,BVDAT,,DATS,8,0,Purchase Requisition,date_of_last_resubmission
EBAN,Purchase Requisition,BATOL,Resubmission Interval of Purchase Requisition,BATOL,,DEC,3,0,Purchase Requisition,resubmission_interval_of_
EBAN,Purchase Requisition,BVDRK,Number of resubmissions,BVDRK,,DEC,7,0,Purchase Requisition,number_of_resubmissions
EBAN,Purchase Requisition,EBELN,Purchase Order Number,BSTNR,EKKO,CHAR,10,0,Purchase Requisition,purchase_order_number
EBAN,Purchase Requisition,EBELP,Purchase Order Item Number,BSTPO,EKPO,NUMC,5,0,Purchase Requisition,purchase_order_item_numbe
EBAN,Purchase Requisition,BEDAT,Purchase Order Date,BEDAT,,DATS,8,0,Purchase Requisition,purchase_order_date
EBAN,Purchase Requisition,BSMNG,Quantity Ordered Against this Purchase Requisition,BSMNG,,QUAN,13,3,Purchase Requisition,quantity_ordered_against_
EBAN,Purchase Requisition,LBLNI,Entry Sheet Number,LBLNI,ESSR,CHAR,10,0,Purchase Requisition,entry_sheet_number
EBAN,Purchase Requisition,BWTAR,Valuation Type,BWTAR_D,T149D,CHAR,10,0,Purchase Requisition,valuation_type
EBAN,Purchase Requisition,XOBLR,Item affects commitments,XOBLR,,CHAR,1,0,Purchase Requisition,item_affects_commitments
EBAN,Purchase Requisition,EBAKZ,Purchase Requisition Closed,EBAKZ,,CHAR,1,0,Purchase Requisition,purchase_requisition_clos
